yourlist:M20220122F248CABF64506F29A91F8037F07B67D13DFE271	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
RMX51338.1	A0A3M6UD34	A0A3M6UD34_POCDA	unreviewed	Uncharacterized protein	pdam_00020068	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	327	metal ion binding [GO:0046872]	GO:0046872
OQR68081.1	A0A1V9X3Y6	A0A1V9X3Y6_9ACAR	unreviewed	Uncharacterized protein	BIW11_04632	Tropilaelaps mercedesae	139		
MXQ92835.1	A0A6B0RSB9	A0A6B0RSB9_9CETA	unreviewed	Uncharacterized protein	E5288_WYG002848	Bos mutus (wild yak)	1128	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
RMX43186.1	A0A3M6TPA7	A0A3M6TPA7_POCDA	unreviewed	Sulfatase domain-containing protein	pdam_00009726	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	504	sulfuric ester hydrolase activity [GO:0008484]	GO:0008484
RMX39006.1	A0A3M6TC89	A0A3M6TC89_POCDA	unreviewed	Uncharacterized protein	pdam_00008160	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	708		
RMX48188.1	A0A3M6U3X4	A0A3M6U3X4_POCDA	unreviewed	F-box domain-containing protein	pdam_00015394	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	920		
PFX33090.1	A0A2B4SW33	A0A2B4SW33_STYPI	unreviewed	Coagulation factor V	F5 AWC38_SpisGene2019	Stylophora pistillata (Smooth cauliflower coral)	387		
RMX46817.1	A0A3M6TZP0	A0A3M6TZP0_POCDA	unreviewed	ZP domain-containing protein	pdam_00007662	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	869	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021
PFX19575.1	A0A2B4RTJ8	A0A2B4RTJ8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene16015	Stylophora pistillata (Smooth cauliflower coral)	258		
RMX49550.1	A0A3M6U7A0	A0A3M6U7A0_POCDA	unreviewed	Uncharacterized protein	pdam_00024658	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	335		
PFX35062.1	A0A2B4T2R6	A0A2B4T2R6_STYPI	unreviewed	Fanconi-associated nuclease (EC 3.1.4.1)	fan1 AWC38_SpisGene111	Stylophora pistillata (Smooth cauliflower coral)	1136	nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; phosphodiesterase I activity [GO:0004528]; interstrand cross-link repair [GO:0036297]	GO:0003677; GO:0004528; GO:0005634; GO:0036297; GO:0046872
PFX19095.1	A0A2B4RS63	A0A2B4RS63_STYPI	unreviewed	Tetratricopeptide repeat protein 36	Ttc36 AWC38_SpisGene16533	Stylophora pistillata (Smooth cauliflower coral)	560		
QMS47765.1	A0A7D7PQA8	A0A7D7PQA8_FIMAN	unreviewed	Apaf-1-like protein		Fimbriaphyllia ancora (Hammer coral) (Euphyllia ancora)	1336	ADP binding [GO:0043531]; regulation of apoptotic process [GO:0042981]	GO:0042981; GO:0043531
RMX45717.1	A0A3M6TWF0	A0A3M6TWF0_POCDA	unreviewed	Uncharacterized protein	pdam_00021183	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	566	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
RMX39370.1	A0A3M6TDA9	A0A3M6TDA9_POCDA	unreviewed	Uncharacterized protein	pdam_00025108	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	358	zinc ion binding [GO:0008270]	GO:0008270
RMX53481.1	A0A3M6UIK4	A0A3M6UIK4_POCDA	unreviewed	Uncharacterized protein	pdam_00017073	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1154		
PFX12210.1	A0A2B4R6U4	A0A2B4R6U4_STYPI	unreviewed	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene23871	Stylophora pistillata (Smooth cauliflower coral)	631	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074
PFX20539.1	A0A2B4RUQ1	A0A2B4RUQ1_STYPI	unreviewed	Nephrocystin-3	nphp3 AWC38_SpisGene14994	Stylophora pistillata (Smooth cauliflower coral)	1478		
RMX59848.1	A0A3M6V2Q1	A0A3M6V2Q1_POCDA	unreviewed	Uncharacterized protein	pdam_00020342	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1579	calcium ion binding [GO:0005509]	GO:0005509
PFX30066.1	A0A2B4SL17	A0A2B4SL17_STYPI	unreviewed	C2H2-type domain-containing protein	AWC38_SpisGene5143	Stylophora pistillata (Smooth cauliflower coral)	458		
RMX50445.1	A0A3M6U9T7	A0A3M6U9T7_POCDA	unreviewed	Uncharacterized protein	pdam_00018327	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	742		
EDO43913.1	A7RX72	A7RX72_NEMVE	unreviewed	Predicted protein	v1g203480	Nematostella vectensis (Starlet sea anemone)	1554		
PFX22399.1	A0A2B4S034	A0A2B4S034_STYPI	unreviewed	Zinc finger protein 862	ZNF862 AWC38_SpisGene13075	Stylophora pistillata (Smooth cauliflower coral)	727	protein dimerization activity [GO:0046983]	GO:0046983
RMX51749.1	A0A3M6UDV3	A0A3M6UDV3_POCDA	unreviewed	TIR domain-containing protein	pdam_00011740	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	675	integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; innate immune response [GO:0045087]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; regulation of cytokine production [GO:0001817]; response to molecule of bacterial origin [GO:0002237]; toll-like receptor 2 signaling pathway [GO:0034134]	GO:0001817; GO:0002237; GO:0002755; GO:0004888; GO:0016021; GO:0034134; GO:0045087
PFX16158.1	A0A2B4RIG3	A0A2B4RIG3_STYPI	unreviewed	Retrovirus-related Pol polyprotein	POL AWC38_SpisGene19586	Stylophora pistillata (Smooth cauliflower coral)	500	integral component of membrane [GO:0016021]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074; GO:0016021
RUA05886.1	A0A432I6B9	A0A432I6B9_9GAMM	unreviewed	SGNH_hydro domain-containing protein	DSY43_03480	Gammaproteobacteria bacterium	554		
RMX43331.1	A0A3M6TPR8	A0A3M6TPR8_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00021508	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	311		
RMX40047.1	A0A3M6TF72	A0A3M6TF72_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00002296	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	817	extracellular region [GO:0005576]; triglyceride lipase activity [GO:0004806]; lipid metabolic process [GO:0006629]	GO:0004806; GO:0005576; GO:0006629
PFX11101.1	A0A2B4R070	A0A2B4R070_STYPI	unreviewed	Neurexin-4 (Fragment)	Nrx-IV AWC38_SpisGene25423	Stylophora pistillata (Smooth cauliflower coral)	90		
RMX38827.1	A0A3M6TBQ2	A0A3M6TBQ2_POCDA	unreviewed	Uncharacterized protein	pdam_00013964	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	623	ATP binding [GO:0005524]	GO:0005524
RMX40796.1	A0A3M6THE2	A0A3M6THE2_POCDA	unreviewed	Uncharacterized protein	pdam_00006538	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	490		
PFX15935.1	A0A2B4RI41	A0A2B4RI41_STYPI	unreviewed	Zinc transporter ZIP13	SLC39A13 AWC38_SpisGene19820	Stylophora pistillata (Smooth cauliflower coral)	699	integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873]; sulfotransferase activity [GO:0008146]	GO:0008146; GO:0016021; GO:0046873
RMX52539.1	A0A3M6UG43	A0A3M6UG43_POCDA	unreviewed	Uncharacterized protein	pdam_00020803	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	80		
AOE11749.1	A0A1B2Z4H7	A0A1B2Z4H7_9BACT	unreviewed	Uncharacterized protein		uncultured bacterium	59		
VDH97547.1	A0A8B6BZD7	A0A8B6BZD7_MYTGA	unreviewed	Uncharacterized protein	MGAL_10B070621	Mytilus galloprovincialis (Mediterranean mussel)	305		
PFX20839.1	A0A2B4RVH8	A0A2B4RVH8_STYPI	unreviewed	Beta-N-acetylhexosaminidase (EC 3.2.1.52) (N-acetyl-beta-glucosaminidase)	chb AWC38_SpisGene14703	Stylophora pistillata (Smooth cauliflower coral)	1220	integral component of membrane [GO:0016021]; beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]; polysaccharide binding [GO:0030247]; carbohydrate metabolic process [GO:0005975]	GO:0004563; GO:0005975; GO:0016021; GO:0030247; GO:0102148
RMX57733.1	A0A3M6UVK4	A0A3M6UVK4_POCDA	unreviewed	Small integral membrane protein 8	pdam_00004996	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	74	integral component of membrane [GO:0016021]	GO:0016021
RMX38759.1	A0A3M6TBR5	A0A3M6TBR5_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00018522	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	444	cAMP binding [GO:0030552]	GO:0030552
ADE55462.1	D5ENI6	D5ENI6_CORAD	unreviewed	CMP/dCMP deaminase zinc-binding protein	Caka_2446	Coraliomargarita akajimensis (strain DSM 45221 / IAM 15411 / JCM 23193 / KCTC 12865 / 04OKA010-24)	169	dCMP deaminase activity [GO:0004132]; zinc ion binding [GO:0008270]; pyrimidine nucleotide metabolic process [GO:0006220]	GO:0004132; GO:0006220; GO:0008270
PFX13043.1	A0A2B4R891	A0A2B4R891_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene22912	Stylophora pistillata (Smooth cauliflower coral)	188		
RMX52960.1	A0A3M6UH11	A0A3M6UH11_POCDA	unreviewed	Uncharacterized protein	pdam_00020220	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1621	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium channel activity [GO:0005262]; hydrolase activity [GO:0016787]	GO:0005262; GO:0005886; GO:0016021; GO:0016787
KAF4072699.1	A0A7J5ZSG8	A0A7J5ZSG8_AMEME	unreviewed	Uncharacterized protein	AMELA_G00265910	Ameiurus melas (Black bullhead) (Silurus melas)	314		
PFX23831.1	A0A2B4S1Q0	A0A2B4S1Q0_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene11609	Stylophora pistillata (Smooth cauliflower coral)	77		
PFX25231.1	A0A2B4S5R0	A0A2B4S5R0_STYPI	unreviewed	Putative serine/threonine-protein kinase	AWC38_SpisGene10141	Stylophora pistillata (Smooth cauliflower coral)	709	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524
RMX48347.1	A0A3M6U409	A0A3M6U409_POCDA	unreviewed	Uncharacterized protein	pdam_00011131	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1285	guanyl-nucleotide exchange factor activity [GO:0005085]	GO:0005085
VDN84979.1	A0A0N4T6J4	A0A0N4T6J4_BRUPA	unreviewed	Uncharacterized protein	BPAG_LOCUS3793	Brugia pahangi (Filarial nematode worm)	611		
PFX34490.1	A0A2B4T048	A0A2B4T048_STYPI	unreviewed	Testis-specific serine/threonine-protein kinase 3	Tssk3 AWC38_SpisGene600	Stylophora pistillata (Smooth cauliflower coral)	399	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0016021
RMX42203.1	A0A3M6TLB3	A0A3M6TLB3_POCDA	unreviewed	Uncharacterized protein	pdam_00017328	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	170		
RMX54554.1	A0A3M6ULY6	A0A3M6ULY6_POCDA	unreviewed	Uncharacterized protein	pdam_00004604	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	145		
RMX42238.1	A0A3M6TLR1	A0A3M6TLR1_POCDA	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	pdam_00011615	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1643	lamellipodium [GO:0030027]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; actin cytoskeleton organization [GO:0030036]; cell migration [GO:0016477]; intracellular signal transduction [GO:0035556]	GO:0005524; GO:0016477; GO:0030027; GO:0030036; GO:0035556; GO:0106310; GO:0106311
RMX43919.1	A0A3M6TRE6	A0A3M6TRE6_POCDA	unreviewed	Uncharacterized protein	pdam_00011290	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	70	cAMP-dependent protein kinase inhibitor activity [GO:0004862]	GO:0004862
PFX12031.1	A0A2B4R334	A0A2B4R334_STYPI	unreviewed	Aggrecan core protein	ACAN AWC38_SpisGene24070	Stylophora pistillata (Smooth cauliflower coral)	575	calcium ion binding [GO:0005509]	GO:0005509
OLP87678.1	A0A1Q9CXN9	A0A1Q9CXN9_SYMMI	unreviewed	Uncharacterized protein	AK812_SmicGene31090	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	835	integral component of membrane [GO:0016021]	GO:0016021
RMX60887.1	A0A3M6V4S6	A0A3M6V4S6_POCDA	unreviewed	Protein unc-45 homolog B	pdam_00003492	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	674		
PIK50998.1	A0A2G8KSM2	A0A2G8KSM2_STIJA	unreviewed	Putative signal peptide, CUB and EGF-like domain-containing protein 1 isoform X8	BSL78_12127	Stichopus japonicus (Sea cucumber)	538	calcium ion binding [GO:0005509]	GO:0005509
RMX59374.1	A0A3M6V0T3	A0A3M6V0T3_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00016375	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	188		
PFX11731.1	A0A2B4R258	A0A2B4R258_STYPI	unreviewed	Putative serine/threonine-protein kinase	AWC38_SpisGene24436	Stylophora pistillata (Smooth cauliflower coral)	851	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524
CAD5224577.1	A0A811LAM2	A0A811LAM2_BURXY	unreviewed	(pine wood nematode) hypothetical protein	BXYJ_LOCUS8113	Bursaphelenchus xylophilus (Pinewood nematode worm) (Aphelenchoides xylophilus)	921		
RDW91648.1	A0A3D8T0W5	A0A3D8T0W5_9HELO	unreviewed	WSC domain-containing protein	BP5796_02813	Coleophoma crateriformis	2112		
EDO31603.1	A7SXG3	A7SXG3_NEMVE	unreviewed	Predicted protein	v1g219020	Nematostella vectensis (Starlet sea anemone)	602		
RMX48306.1	A0A3M6U3Y7	A0A3M6U3Y7_POCDA	unreviewed	Uncharacterized protein	pdam_00011128	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	99		
PFX21429.1	A0A2B4RXA1	A0A2B4RXA1_STYPI	unreviewed	Neuropeptide FF receptor 2	Npffr2 AWC38_SpisGene14081	Stylophora pistillata (Smooth cauliflower coral)	1972	integral component of membrane [GO:0016021]; flavin adenine dinucleotide binding [GO:0050660]; G protein-coupled receptor activity [GO:0004930]; hydrolase activity [GO:0016787]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]	GO:0004930; GO:0016021; GO:0016614; GO:0016787; GO:0050660
PFX15889.1	A0A2B4RGF1	A0A2B4RGF1_STYPI	unreviewed	Hemicentin-1	HMCN1 AWC38_SpisGene19874	Stylophora pistillata (Smooth cauliflower coral)	1838	calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160]	GO:0005509; GO:0007160
PFX22514.1	A0A2B4RVN9	A0A2B4RVN9_STYPI	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	FGFR1 AWC38_SpisGene12976	Stylophora pistillata (Smooth cauliflower coral)	1492	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005509; GO:0005524; GO:0016021
NUN12787.1	A0A7Y5LMD9	A0A7Y5LMD9_9DELT	unreviewed	Uncharacterized protein	HUU55_04045	Myxococcales bacterium	2121		
RMX56892.1	A0A3M6UT89	A0A3M6UT89_POCDA	unreviewed	Uncharacterized protein	pdam_00022713	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	261		
RMX52560.1	A0A3M6UFV3	A0A3M6UFV3_POCDA	unreviewed	E3 ubiquitin-protein ligase (EC 2.3.2.26)	pdam_00019783	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	860	ubiquitin protein ligase activity [GO:0061630]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0006511; GO:0061630
PFX12627.1	A0A2B4R8D9	A0A2B4R8D9_STYPI	unreviewed	Tetratricopeptide repeat protein 28 (Fragment)	Ttc28 AWC38_SpisGene23380	Stylophora pistillata (Smooth cauliflower coral)	1302		
PFX17565.1	A0A2B4RMS1	A0A2B4RMS1_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene18104	Stylophora pistillata (Smooth cauliflower coral)	191		
RMX59457.1	A0A3M6V0P4	A0A3M6V0P4_POCDA	unreviewed	Med12 domain-containing protein	pdam_00015653	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	2004	mediator complex [GO:0016592]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003712; GO:0006357; GO:0016592
QCE08174.1	A0A4D6N5P6	A0A4D6N5P6_VIGUN	unreviewed	Uncharacterized protein	DEO72_LG9g3200	Vigna unguiculata (Cowpea)	573		
PFX20855.1	A0A2B4RX83	A0A2B4RX83_STYPI	unreviewed	Hydroxysteroid dehydrogenase-like protein 2	hsdl2 AWC38_SpisGene14679	Stylophora pistillata (Smooth cauliflower coral)	865	peroxisome [GO:0005777]; oxidoreductase activity [GO:0016491]	GO:0005777; GO:0016491
RMX49924.1	A0A3M6U8S6	A0A3M6U8S6_POCDA	unreviewed	NIDO domain-containing protein	pdam_00017295	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	274	cell-matrix adhesion [GO:0007160]	GO:0007160
RMX47041.1	A0A3M6U0D1	A0A3M6U0D1_POCDA	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	pdam_00009599	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	480	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524
RMX56985.1	A0A3M6UTM0	A0A3M6UTM0_POCDA	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	pdam_00016148	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	342	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
RMX45281.1	A0A3M6TVB1	A0A3M6TVB1_POCDA	unreviewed	RNA_pol_L_2 domain-containing protein	pdam_00000816	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	118	RNA polymerase II, core complex [GO:0005665]; DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; RNA polymerase II activity [GO:0001055]	GO:0001055; GO:0003677; GO:0005665; GO:0046983
PFX27314.1	A0A2B4S9H8	A0A2B4S9H8_STYPI	unreviewed	Glutamate receptor 4	GRIA4 AWC38_SpisGene8005	Stylophora pistillata (Smooth cauliflower coral)	715	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; ionotropic glutamate receptor activity [GO:0004970]	GO:0004970; GO:0016021; GO:0045211
PFX15674.1	A0A2B4RBE5	A0A2B4RBE5_STYPI	unreviewed	Pogo transposable element with KRAB domain	Pogk AWC38_SpisGene20100	Stylophora pistillata (Smooth cauliflower coral)	400	integral component of membrane [GO:0016021]; DNA binding [GO:0003677]	GO:0003677; GO:0016021
RMX45451.1	A0A3M6TVR7	A0A3M6TVR7_POCDA	unreviewed	Uncharacterized protein	pdam_00016068	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	749		
PFX15992.1	A0A2B4RIB3	A0A2B4RIB3_STYPI	unreviewed	Amidase	AWC38_SpisGene19761	Stylophora pistillata (Smooth cauliflower coral)	370	hydrolase activity [GO:0016787]	GO:0016787
RMX56626.1	A0A3M6USH8	A0A3M6USH8_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00002359	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	2132	integral component of membrane [GO:0016021]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0016021; GO:0016747
PFX32064.1	A0A2B4SMZ8	A0A2B4SMZ8_STYPI	unreviewed	Chondroitin sulfate ABC exolyase	chonabc AWC38_SpisGene3057	Stylophora pistillata (Smooth cauliflower coral)	1195	extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]; chondroitin ABC lyase activity [GO:0047486]; carbohydrate metabolic process [GO:0005975]; glycosaminoglycan catabolic process [GO:0006027]	GO:0005576; GO:0005975; GO:0006027; GO:0030246; GO:0047486
RMX60331.1	A0A3M6V328	A0A3M6V328_POCDA	unreviewed	Uncharacterized protein	pdam_00024159	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	364		
PFX22496.1	A0A2B4RZB7	A0A2B4RZB7_STYPI	unreviewed	E3 ubiquitin-protein ligase TRIM71	trim71 AWC38_SpisGene12999	Stylophora pistillata (Smooth cauliflower coral)	1138	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270
RMX51703.1	A0A3M6UDE4	A0A3M6UDE4_POCDA	unreviewed	Uncharacterized protein	pdam_00008087	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	692	lysosome [GO:0005764]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	GO:0004553; GO:0005764; GO:0005975
PFX14307.1	A0A2B4RD89	A0A2B4RD89_STYPI	unreviewed	Tetratricopeptide repeat protein 28	TTC28 AWC38_SpisGene21545	Stylophora pistillata (Smooth cauliflower coral)	1606		
CAP38076.2	A8XZE9	A8XZE9_CAEBR	unreviewed	Protein CBG21131	CBG21131 CBG_21131	Caenorhabditis briggsae	931	integral component of membrane [GO:0016021]	GO:0016021
PFX16435.1	A0A2B4RJK6	A0A2B4RJK6_STYPI	unreviewed	Snake venom metalloprotease inhibitor 02D01	2 AWC38_SpisGene19291	Stylophora pistillata (Smooth cauliflower coral)	479	metallopeptidase activity [GO:0008237]; signal transduction [GO:0007165]	GO:0007165; GO:0008237
PFX30766.1	A0A2B4SN23	A0A2B4SN23_STYPI	unreviewed	N-acetylserotonin O-methyltransferase-like protein	ASMTL AWC38_SpisGene4433	Stylophora pistillata (Smooth cauliflower coral)	358	O-methyltransferase activity [GO:0008171]; methylation [GO:0032259]	GO:0008171; GO:0032259
QMS47761.1	A0A7D7KP96	A0A7D7KP96_FIMAN	unreviewed	Caspase-3-like protein		Fimbriaphyllia ancora (Hammer coral) (Euphyllia ancora)	304	cysteine-type endopeptidase activity [GO:0004197]	GO:0004197
PFX26843.1	A0A2B4SCR5	A0A2B4SCR5_STYPI	unreviewed	DNA-directed DNA polymerase (EC 2.7.7.7)	POLA1 AWC38_SpisGene8525	Stylophora pistillata (Smooth cauliflower coral)	474	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260
PIK50012.1	A0A2G8KPS5	A0A2G8KPS5_STIJA	unreviewed	Endonuclease-reverse transcriptase	BSL78_13117	Stichopus japonicus (Sea cucumber)	461	endonuclease activity [GO:0004519]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0004519
PFX15659.1	A0A2B4RFS9	A0A2B4RFS9_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20116	Stylophora pistillata (Smooth cauliflower coral)	162		
RMX37444.1	A0A3M6T837	A0A3M6T837_POCDA	unreviewed	Fibroblast growth factor receptor (EC 2.7.10.1)	pdam_00011700	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	877	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; fibroblast growth factor-activated receptor activity [GO:0005007]; positive regulation of cell population proliferation [GO:0008284]	GO:0005007; GO:0005524; GO:0008284; GO:0016021
RMX40891.1	A0A3M6THU0	A0A3M6THU0_POCDA	unreviewed	Uncharacterized protein	pdam_00012026	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1049	integral component of membrane [GO:0016021]	GO:0016021
PFX19574.1	A0A2B4RMB9	A0A2B4RMB9_STYPI	unreviewed	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B	Ankrd44 AWC38_SpisGene16016	Stylophora pistillata (Smooth cauliflower coral)	816		
PFX13246.1	A0A2B4R7V6	A0A2B4R7V6_STYPI	unreviewed	Ribonuclease inhibitor (Fragment)	Rnh1 AWC38_SpisGene22691	Stylophora pistillata (Smooth cauliflower coral)	414		
QTF49600.1	A0A8A5J3S0	A0A8A5J3S0_9VIRU	unreviewed	Collagen-like protein 6	qu_709	Mimivirus reunion	1401		
EDO30896.1	A7SZH2	A7SZH2_NEMVE	unreviewed	Predicted protein	v1g219972	Nematostella vectensis (Starlet sea anemone)	1250		
PFX24982.1	A0A2B4S8W8	A0A2B4S8W8_STYPI	unreviewed	Galactose-3-O-sulfotransferase 3	Gal3st3 AWC38_SpisGene10409	Stylophora pistillata (Smooth cauliflower coral)	628	integral component of membrane [GO:0016021]; galactosylceramide sulfotransferase activity [GO:0001733]; transcription cis-regulatory region binding [GO:0000976]; glycolipid biosynthetic process [GO:0009247]	GO:0000976; GO:0001733; GO:0009247; GO:0016021
SMN01044.1	A0A482ZNR8	A0A482ZNR8_9GAMM	unreviewed	Dimer_Tnp_hAT domain-containing protein	SPONL_1737	uncultured SUP05 cluster bacterium	449	protein dimerization activity [GO:0046983]	GO:0046983
RMX43579.1	A0A3M6TQH5	A0A3M6TQH5_POCDA	unreviewed	Homeobox domain-containing protein	pdam_00010849	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	172	nucleus [GO:0005634]; DNA binding [GO:0003677]	GO:0003677; GO:0005634
PFX18766.1	A0A2B4RNL9	A0A2B4RNL9_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene16860	Stylophora pistillata (Smooth cauliflower coral)	1200		
RMX47446.1	A0A3M6U1F8	A0A3M6U1F8_POCDA	unreviewed	Peptidase S1 domain-containing protein	pdam_00002137	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	271	serine-type endopeptidase activity [GO:0004252]	GO:0004252
PFX31427.1	A0A2B4SSI3	A0A2B4SSI3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene3807	Stylophora pistillata (Smooth cauliflower coral)	554	integral component of membrane [GO:0016021]	GO:0016021
TNN35159.1	A0A4Z2F204	A0A4Z2F204_9TELE	unreviewed	Uncharacterized protein	EYF80_054671	Liparis tanakae (Tanaka's snailfish)	283	integral component of membrane [GO:0016021]	GO:0016021
RMX41079.1	A0A3M6TID7	A0A3M6TID7_POCDA	unreviewed	Uncharacterized protein	pdam_00003231	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	847		
PFX23038.1	A0A2B4S394	A0A2B4S394_STYPI	unreviewed	MAM and LDL-receptor class A domain-containing protein 1	MALRD1 AWC38_SpisGene12423	Stylophora pistillata (Smooth cauliflower coral)	9565	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]	GO:0005576; GO:0016021
