yourlist:M20220121A084FC58F6BBA219896F365D15F2EB443D8165V	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
XP_031568732.1	A0A6P8IPE9	A0A6P8IPE9_ACTTE	unreviewed	dynein regulatory complex subunit 2-like isoform X1	LOC116303342	Actinia tenebrosa (Australian red waratah sea anemone)	523	axonemal dynein complex [GO:0005858]; axonemal dynein complex assembly [GO:0070286]	GO:0005858; GO:0070286
XP_031569221.1	A0A6P8IQ69	A0A6P8IQ69_ACTTE	unreviewed	uncharacterized protein LOC116303760	LOC116303760	Actinia tenebrosa (Australian red waratah sea anemone)	305		
XP_005835439.1	L1JJY1	L1JJY1_GUITC	unreviewed	Uncharacterized protein	GUITHDRAFT_136594	Guillardia theta (strain CCMP2712) (Cryptophyte)	916		
XP_031561458.1	A0A6P8I145	A0A6P8I145_ACTTE	unreviewed	uncharacterized protein LOC116297381	LOC116297381	Actinia tenebrosa (Australian red waratah sea anemone)	223		
XP_003722449.1	E9AEM9	E9AEM9_LEIMA	unreviewed	Proteophosphoglycan 5	LMJF_35_0540	Leishmania major	17392	integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; immune response [GO:0006955]; toll-like receptor signaling pathway [GO:0002224]	GO:0002224; GO:0004888; GO:0006955; GO:0016021
XP_031572608.1	A0A6P8J3L6	A0A6P8J3L6_ACTTE	unreviewed	Werner syndrome ATP-dependent helicase homolog	LOC116306666	Actinia tenebrosa (Australian red waratah sea anemone)	631	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004386; GO:0005524
XP_013406441.1	A0A1S3J880	A0A1S3J880_LINUN	unreviewed	uncharacterized protein LOC106170922	LOC106170922	Lingula unguis	2374		
XP_019632014.1	A0A6P4ZDM9	A0A6P4ZDM9_BRABE	unreviewed	uncharacterized protein LOC109475693	LOC109475693	Branchiostoma belcheri (Amphioxus)	516	arylformamidase activity [GO:0004061]; tryptophan catabolic process to kynurenine [GO:0019441]	GO:0004061; GO:0019441
XP_020644705.1	A0A6J0TCI5	A0A6J0TCI5_9SAUR	unreviewed	proline-rich nuclear receptor coactivator 1	PNRC1	Pogona vitticeps (central bearded dragon)	285	nucleus [GO:0005634]	GO:0005634
XP_019632187.1	A0A6P4ZM96	A0A6P4ZM96_BRABE	unreviewed	Coatomer subunit zeta	LOC109475832	Branchiostoma belcheri (Amphioxus)	177	COPI vesicle coat [GO:0030126]; Golgi membrane [GO:0000139]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	GO:0000139; GO:0006890; GO:0015031; GO:0030126
XP_031557907.1	A0A6P8HZ75	A0A6P8HZ75_ACTTE	unreviewed	Citrate synthase	LOC116294454	Actinia tenebrosa (Australian red waratah sea anemone)	470	mitochondrial matrix [GO:0005759]; citrate (Si)-synthase activity [GO:0004108]; citrate metabolic process [GO:0006101]; tricarboxylic acid cycle [GO:0006099]	GO:0004108; GO:0005759; GO:0006099; GO:0006101
XP_031563600.1	A0A6P8IDM6	A0A6P8IDM6_ACTTE	unreviewed	uncharacterized protein LOC116299106	LOC116299106	Actinia tenebrosa (Australian red waratah sea anemone)	1009		
XP_013417665.1	A0A1S3K4V4	A0A1S3K4V4_LINUN	unreviewed	cubilin	LOC106178857	Lingula unguis	3060	calcium ion binding [GO:0005509]	GO:0005509
XP_001638024.1	A7RRJ0	FEN1_NEMVE	reviewed	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)	FEN1 v1g201054	Nematostella vectensis (Starlet sea anemone)	377	mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; 5'-3' exonuclease activity [GO:0008409]; 5'-flap endonuclease activity [GO:0017108]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; base-excision repair [GO:0006284]; DNA replication [GO:0006260]; DNA replication, removal of RNA primer [GO:0043137]	GO:0000287; GO:0003677; GO:0004523; GO:0005634; GO:0005654; GO:0005730; GO:0005739; GO:0006260; GO:0006284; GO:0008409; GO:0017108; GO:0030145; GO:0043137
XP_011457230.1	K1R720	K1R720_CRAGI	unreviewed	Casein kinase I isoform alpha	CGI_10011211	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	323	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524
XP_031556865.1	A0A6P8HW50	A0A6P8HW50_ACTTE	unreviewed	Septin	LOC116293566	Actinia tenebrosa (Australian red waratah sea anemone)	390	GTP binding [GO:0005525]	GO:0005525
WP_016314533.1	R9L4X8	R9L4X8_9BACL	unreviewed	Uncharacterized protein	C812_04169	Paenibacillus barengoltzii G22	892		
XP_031572021.1	A0A6P8IXB5	A0A6P8IXB5_ACTTE	unreviewed	uncharacterized protein LOC116306116	LOC116306116	Actinia tenebrosa (Australian red waratah sea anemone)	558	calcium ion binding [GO:0005509]; catalytic activity [GO:0003824]	GO:0003824; GO:0005509
YP_004581294.1	F8UM24	F8UM24_9CNID	unreviewed	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	ND2	Goniopora columna	365	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	GO:0008137; GO:0016021; GO:0031966; GO:0042773; GO:0070469
XP_019617204.1	A0A6P4Y4B6	A0A6P4Y4B6_BRABE	unreviewed	E3 ubiquitin-protein ligase TRIM33-like	LOC109464633	Branchiostoma belcheri (Amphioxus)	670	zinc ion binding [GO:0008270]	GO:0008270
XP_629009.1	Q54BM0	Q54BM0_DICDI	unreviewed	zf-LYAR domain-containing protein	DDB0192009	Dictyostelium discoideum (Slime mold)	527	nucleolus [GO:0005730]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; negative regulation of transcription by RNA polymerase II [GO:0000122]; rRNA processing [GO:0006364]	GO:0000122; GO:0003677; GO:0005730; GO:0006364; GO:0046872
XP_031572685.1	A0A6P8J5F3	A0A6P8J5F3_ACTTE	unreviewed	zinc finger protein 330 homolog	LOC116306732	Actinia tenebrosa (Australian red waratah sea anemone)	317	nucleolus [GO:0005730]; zinc ion binding [GO:0008270]	GO:0005730; GO:0008270
XP_019618384.1	A0A6P4Y7T2	A0A6P4Y7T2_BRABE	unreviewed	fibrillin-2-like isoform X46	LOC109465484	Branchiostoma belcheri (Amphioxus)	4292	calcium ion binding [GO:0005509]	GO:0005509
XP_006022839.1	A0A1U7RRP5	A0A1U7RRP5_ALLSI	unreviewed	extensin-3-like	LOC102384277	Alligator sinensis (Chinese alligator)	446		
XP_019643781.1	A0A6P5AP16	A0A6P5AP16_BRABE	unreviewed	Chloride channel protein	LOC109484860	Branchiostoma belcheri (Amphioxus)	791	integral component of membrane [GO:0016021]; voltage-gated chloride channel activity [GO:0005247]; chloride transport [GO:0006821]	GO:0005247; GO:0006821; GO:0016021
XP_031551804.1	A0A6P8H604	A0A6P8H604_ACTTE	unreviewed	uncharacterized protein LOC116289057	LOC116289057	Actinia tenebrosa (Australian red waratah sea anemone)	606		
XP_031565547.1	A0A6P8IFS6	A0A6P8IFS6_ACTTE	unreviewed	uncharacterized protein LOC116300761	LOC116300761	Actinia tenebrosa (Australian red waratah sea anemone)	1041		
XP_031562905.1	A0A6P8ICS9	A0A6P8ICS9_ACTTE	unreviewed	uncharacterized protein LOC116298543	LOC116298543	Actinia tenebrosa (Australian red waratah sea anemone)	2433		
XP_001951863.2	J9JWX7	J9JWX7_ACYPI	unreviewed	Uncharacterized protein	100163848	Acyrthosiphon pisum (Pea aphid)	1114		
XP_017308724.1	A0A2D0PUE5	A0A2D0PUE5_ICTPU	unreviewed	cystatin-B-like	LOC108256405	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	105	cysteine-type endopeptidase inhibitor activity [GO:0004869]	GO:0004869
XP_031566709.1	A0A6P8IIW8	A0A6P8IIW8_ACTTE	unreviewed	Arylamine N-acetyltransferase (EC 2.3.1.5)	LOC116301739	Actinia tenebrosa (Australian red waratah sea anemone)	293	arylamine N-acetyltransferase activity [GO:0004060]	GO:0004060
XP_029652327.1	A0A6P7TSL1	A0A6P7TSL1_OCTVU	unreviewed	uncharacterized protein LOC115225519	LOC115225519	Octopus vulgaris (Common octopus)	137		
XP_031559020.1	A0A6P8I2E2	A0A6P8I2E2_ACTTE	unreviewed	uncharacterized protein LOC116295363	LOC116295363	Actinia tenebrosa (Australian red waratah sea anemone)	274	nucleic acid binding [GO:0003676]	GO:0003676
XP_031573563.1	A0A6P8J6Q2	A0A6P8J6Q2_ACTTE	unreviewed	uncharacterized protein LOC116307446	LOC116307446	Actinia tenebrosa (Australian red waratah sea anemone)	266		
XP_013411295.1	A0A1S3JLK6	A0A1S3JLK6_LINUN	unreviewed	uncharacterized protein LOC106174328 isoform X9	LOC106174328	Lingula unguis	4348	integral component of membrane [GO:0016021]	GO:0016021
XP_031573732.1	A0A6P8J2B6	A0A6P8J2B6_ACTTE	unreviewed	uncharacterized protein LOC116307604	LOC116307604	Actinia tenebrosa (Australian red waratah sea anemone)	660	catalytic activity [GO:0003824]	GO:0003824
XP_004342494.2	A0A0D2UTD6	A0A0D2UTD6_CAPO3	unreviewed	TKL protein kinase	CAOG_008239	Capsaspora owczarzaki (strain ATCC 30864)	1869	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524; GO:0016021
XP_019744242.1	A0A3Q2YQ14	A0A3Q2YQ14_HIPCM	unreviewed	LUC7 like 3 pre-mRNA splicing factor		Hippocampus comes (Tiger tail seahorse)	497	U1 snRNP [GO:0005685]; mRNA binding [GO:0003729]; mRNA splice site selection [GO:0006376]	GO:0003729; GO:0005685; GO:0006376
XP_031560183.1	A0A6P8HXT1	A0A6P8HXT1_ACTTE	unreviewed	uncharacterized protein LOC116296299	LOC116296299	Actinia tenebrosa (Australian red waratah sea anemone)	4669		
XP_031553716.1	A0A6P8HDG1	A0A6P8HDG1_ACTTE	unreviewed	ubiquitin carboxyl-terminal hydrolase 23-like	LOC116290750	Actinia tenebrosa (Australian red waratah sea anemone)	225	thiol-dependent deubiquitinase [GO:0004843]; histone deubiquitination [GO:0016578]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0004843; GO:0006511; GO:0016578
XP_031571341.1	A0A6P8IVM8	A0A6P8IVM8_ACTTE	unreviewed	uncharacterized protein LOC116305543	LOC116305543	Actinia tenebrosa (Australian red waratah sea anemone)	288		
XP_031555589.1	A0A6P8HGQ1	A0A6P8HGQ1_ACTTE	unreviewed	fibrillin-1-like	LOC116292408	Actinia tenebrosa (Australian red waratah sea anemone)	1070	calcium ion binding [GO:0005509]	GO:0005509
XP_010848273.1	A0A6P3I0V5	A0A6P3I0V5_BISBI	unreviewed	WD repeat-containing protein WRAP73 isoform X3	WRAP73	Bison bison bison	384		
XP_031549045.1	A0A6P8H9B6	A0A6P8H9B6_ACTTE	unreviewed	uncharacterized protein LOC116286633	LOC116286633	Actinia tenebrosa (Australian red waratah sea anemone)	307		
XP_031564359.1	A0A6P8I719	A0A6P8I719_ACTTE	unreviewed	uncharacterized protein LOC116299787	LOC116299787	Actinia tenebrosa (Australian red waratah sea anemone)	320		
XP_031571988.1	A0A6P8J1G3	A0A6P8J1G3_ACTTE	unreviewed	ras-related protein ORAB-1-like	LOC116306094	Actinia tenebrosa (Australian red waratah sea anemone)	213	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525
XP_001623311.1	A7SYK1	A7SYK1_NEMVE	unreviewed	Fumarate hydratase (EC 4.2.1.2)	v1g237597	Nematostella vectensis (Starlet sea anemone)	498	mitochondrion [GO:0005739]; tricarboxylic acid cycle enzyme complex [GO:0045239]; fumarate hydratase activity [GO:0004333]; fumarate metabolic process [GO:0006106]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]	GO:0004333; GO:0005739; GO:0006099; GO:0006106; GO:0006108; GO:0045239
XP_031559272.1	A0A6P8I2Z3	A0A6P8I2Z3_ACTTE	unreviewed	26S proteasome non-ATPase regulatory subunit 1	LOC116295565	Actinia tenebrosa (Australian red waratah sea anemone)	1023	proteasome regulatory particle, base subcomplex [GO:0008540]; enzyme regulator activity [GO:0030234]; regulation of protein catabolic process [GO:0042176]	GO:0008540; GO:0030234; GO:0042176
XP_036358683.1	A0A7E6ETM2	A0A7E6ETM2_OCTVU	unreviewed	fibrillin-3-like isoform X2	LOC115212200	Octopus vulgaris (Common octopus)	1239	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; chitin binding [GO:0008061]	GO:0005509; GO:0005576; GO:0008061
XP_002116623.1	B3S8M5	B3S8M5_TRIAD	unreviewed	Heat shock cognate protein 70	TRIADDRAFT_38294	Trichoplax adhaerens (Trichoplax reptans)	659	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; vesicle-mediated transport [GO:0016192]	GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0016192; GO:0031072; GO:0034620; GO:0042026; GO:0044183; GO:0051082; GO:0051085; GO:0051787
XP_031572160.1	A0A6P8J3K0	A0A6P8J3K0_ACTTE	unreviewed	uncharacterized protein LOC116306276	LOC116306276	Actinia tenebrosa (Australian red waratah sea anemone)	1027	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
XP_001625764.1	A7SRI7	A7SRI7_NEMVE	unreviewed	Predicted protein	v1g237453	Nematostella vectensis (Starlet sea anemone)	586	cytoplasm [GO:0005737]; protein phosphatase type 2A complex [GO:0000159]; protein phosphatase regulator activity [GO:0019888]; protein dephosphorylation [GO:0006470]	GO:0000159; GO:0005737; GO:0006470; GO:0019888
WP_012473465.1	B3EU24	B3EU24_AMOA5	unreviewed	U-box domain-containing protein	Aasi_1435	Amoebophilus asiaticus (strain 5a2)	1585	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842
XP_031557099.1	A0A6P8HL26	A0A6P8HL26_ACTTE	unreviewed	galanin receptor type 1-like	LOC116293772	Actinia tenebrosa (Australian red waratah sea anemone)	382	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
XP_036367968.1	A0A7E6FK29	A0A7E6FK29_OCTVU	unreviewed	mucin-19-like	LOC115224399	Octopus vulgaris (Common octopus)	6093	cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0007155; GO:0007399; GO:0030154
XP_005833696.1	L1JDX5	L1JDX5_GUITC	unreviewed	Uncharacterized protein	GUITHDRAFT_107493	Guillardia theta (strain CCMP2712) (Cryptophyte)	644		
XP_020824637.1	A0A6P5IRF8	A0A6P5IRF8_PHACI	unreviewed	dynein heavy chain 12, axonemal isoform X3	DNAH12	Phascolarctos cinereus (Koala)	3913	cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; microtubule-based movement [GO:0007018]	GO:0005524; GO:0005737; GO:0005874; GO:0005929; GO:0007018; GO:0008569; GO:0030286
XP_026757358.2	A0A6J1WWS9	A0A6J1WWS9_GALME	unreviewed	collagen alpha-1(IV) chain	LOC113517040	Galleria mellonella (Greater wax moth)	1896	basement membrane [GO:0005604]; collagen trimer [GO:0005581]; integral component of membrane [GO:0016021]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005581; GO:0005604; GO:0016021
XP_031550460.1	A0A6P8HD40	A0A6P8HD40_ACTTE	unreviewed	acetyl-coenzyme A synthetase, cytoplasmic-like	LOC116287894	Actinia tenebrosa (Australian red waratah sea anemone)	689	integral component of membrane [GO:0016021]	GO:0016021
XP_031558371.1	A0A6P8HSF4	A0A6P8HSF4_ACTTE	unreviewed	endoribonuclease Dicer-like	LOC116294837	Actinia tenebrosa (Australian red waratah sea anemone)	1517	ATP binding [GO:0005524]; helicase activity [GO:0004386]; ribonuclease III activity [GO:0004525]; RNA binding [GO:0003723]; RNA processing [GO:0006396]	GO:0003723; GO:0004386; GO:0004525; GO:0005524; GO:0006396
XP_031572458.1	A0A6P8J326	A0A6P8J326_ACTTE	unreviewed	QRFP-like peptide receptor isoform X1	LOC116306516	Actinia tenebrosa (Australian red waratah sea anemone)	387	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
XP_031573730.1	A0A6P8JA80	A0A6P8JA80_ACTTE	unreviewed	uncharacterized protein LOC116307602	LOC116307602	Actinia tenebrosa (Australian red waratah sea anemone)	295		
WP_013114387.1	D5UBE0	D5UBE0_BRAM5	unreviewed	Uncharacterized protein	Bmur_1934	Brachyspira murdochii (strain ATCC 51284 / DSM 12563 / 56-150) (Serpulina murdochii)	3024		
XP_019623052.1	A0A6P4YWD3	A0A6P4YWD3_BRABE	unreviewed	fibrillin-2-like	LOC109469111	Branchiostoma belcheri (Amphioxus)	1067	calcium ion binding [GO:0005509]	GO:0005509
WP_056394548.1	A0A0Q7FKV3	A0A0Q7FKV3_9BURK	unreviewed	Uncharacterized protein	ASC94_09695	Massilia sp. Root418	1784		
YP_004581305.1	F8UM35	F8UM35_9CNID	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	ND1	Porites okinawensis (hump coral)	327	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0016021
XP_031559737.1	A0A6P8I483	A0A6P8I483_ACTTE	unreviewed	uncharacterized protein LOC116295919	LOC116295919	Actinia tenebrosa (Australian red waratah sea anemone)	801		
XP_031568314.1	A0A6P8IN80	A0A6P8IN80_ACTTE	unreviewed	gamma-aminobutyric acid receptor-associated protein	LOC116303016	Actinia tenebrosa (Australian red waratah sea anemone)	118	membrane [GO:0016020]; autophagy [GO:0006914]	GO:0006914; GO:0016020
XP_017343436.1	A0A2D0SLQ8	A0A2D0SLQ8_ICTPU	unreviewed	serine/arginine-rich splicing factor 6-like isoform X2	LOC108276344	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	389	RNA binding [GO:0003723]	GO:0003723
XP_023931403.1	A0A2R2MMF2	A0A2R2MMF2_LINUN	unreviewed	collagen alpha-1(I) chain-like	LOC106159213	Lingula unguis	1080	collagen trimer [GO:0005581]	GO:0005581
XP_031554524.1	A0A6P8HDM6	A0A6P8HDM6_ACTTE	unreviewed	uncharacterized protein LOC116291493	LOC116291493	Actinia tenebrosa (Australian red waratah sea anemone)	493	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074
XP_031563998.1	A0A6P8I7L7	A0A6P8I7L7_ACTTE	unreviewed	protein FAN-like	LOC116299479	Actinia tenebrosa (Australian red waratah sea anemone)	898		
XP_031560279.1	A0A6P8HV41	A0A6P8HV41_ACTTE	unreviewed	mucin-like protein	LOC116296400	Actinia tenebrosa (Australian red waratah sea anemone)	2063	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160]	GO:0005509; GO:0007160; GO:0016021
XP_019618364.1	A0A6P4Y7Q4	A0A6P4Y7Q4_BRABE	unreviewed	fibrillin-2-like isoform X28	LOC109465484	Branchiostoma belcheri (Amphioxus)	4395	calcium ion binding [GO:0005509]	GO:0005509
XP_032525068.1	A0A7I0ZVT1	A0A7I0ZVT1_DANPL	unreviewed	glycine-rich cell wall structural protein 1.8-like	LOC116776080	Danaus plexippus plexippus	800	extracellular region [GO:0005576]; chitin binding [GO:0008061]	GO:0005576; GO:0008061
YP_009034318.1	A0A059VAT3	A0A059VAT3_9CNID	unreviewed	Cytochrome c oxidase subunit 2	COX2	Porites panamensis	247	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]	GO:0004129; GO:0005507; GO:0005743; GO:0016021; GO:0070469
XP_031561657.1	A0A6P8I973	A0A6P8I973_ACTTE	unreviewed	uncharacterized protein LOC116297551	LOC116297551	Actinia tenebrosa (Australian red waratah sea anemone)	181	integral component of membrane [GO:0016021]	GO:0016021
XP_031574425.1	A0A6P8JD09	A0A6P8JD09_ACTTE	unreviewed	uncharacterized protein LOC116308181	LOC116308181	Actinia tenebrosa (Australian red waratah sea anemone)	718		
XP_031557418.1	A0A6P8HQN4	A0A6P8HQN4_ACTTE	unreviewed	uncharacterized protein LOC116294037 isoform X4	LOC116294037	Actinia tenebrosa (Australian red waratah sea anemone)	1165		
XP_031554659.1	A0A6P8HE14	A0A6P8HE14_ACTTE	unreviewed	uncharacterized protein LOC116291613	LOC116291613	Actinia tenebrosa (Australian red waratah sea anemone)	304		
XP_031564177.1	A0A6P8IDD9	A0A6P8IDD9_ACTTE	unreviewed	calcium-binding protein LPS1-alpha-like	LOC116299632	Actinia tenebrosa (Australian red waratah sea anemone)	453	calcium ion binding [GO:0005509]	GO:0005509
XP_031553745.1	A0A6P8HM74	A0A6P8HM74_ACTTE	unreviewed	Threonyl-tRNA synthetase (EC 6.1.1.3)	LOC116290783	Actinia tenebrosa (Australian red waratah sea anemone)	751	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; threonine-tRNA ligase activity [GO:0004829]; threonyl-tRNA aminoacylation [GO:0006435]	GO:0004829; GO:0005524; GO:0005737; GO:0006435
XP_031418414.1	A0A6P8F0Z6	A0A6P8F0Z6_CLUHA	unreviewed	alpha-N-acetylgalactosamine-specific lectin-like	LOC116219327	Clupea harengus (Atlantic herring)	167	carbohydrate binding [GO:0030246]	GO:0030246
XP_001733016.1	B0G154	B0G154_DICDI	unreviewed	EGF-like domain-containing protein	DDB_G0295485	Dictyostelium discoideum (Slime mold)	1691	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021
XP_031552250.1	A0A6P8HI61	A0A6P8HI61_ACTTE	unreviewed	uncharacterized protein LOC116289449	LOC116289449	Actinia tenebrosa (Australian red waratah sea anemone)	1641		
XP_001747820.1	A9V541	A9V541_MONBE	unreviewed	Predicted protein	27378	Monosiga brevicollis (Choanoflagellate)	182	cytoplasm [GO:0005737]; microtubule cytoskeleton [GO:0015630]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cilium assembly [GO:0060271]; positive regulation of microtubule polymerization [GO:0031116]	GO:0003924; GO:0005525; GO:0005737; GO:0015630; GO:0031116; GO:0060271
XP_013403457.1	A0A1S3IZ31	A0A1S3IZ31_LINUN	unreviewed	fibril-forming collagen alpha chain isoform X1	LOC106168812	Lingula unguis	1384	collagen trimer [GO:0005581]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005581
XP_031553784.1	A0A6P8HBG6	A0A6P8HBG6_ACTTE	unreviewed	uncharacterized protein KIAA1958-like	LOC116290814	Actinia tenebrosa (Australian red waratah sea anemone)	267	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074
XP_017665523.1	A0A6J0GTN2	A0A6J0GTN2_9PASS	unreviewed	G-protein-signaling modulator 1 isoform X3	GPSM1	Lepidothrix coronata (blue-crowned manakin)	666	plasma membrane [GO:0005886]; GTPase regulator activity [GO:0030695]	GO:0005886; GO:0030695
XP_013417931.2	A0A1S3K6Q0	A0A1S3K6Q0_LINUN	unreviewed	fibrillin-1	LOC106179020	Lingula unguis	1757	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005576
XP_030621969.1	A0A6J2UPI3	A0A6J2UPI3_CHACN	unreviewed	dynein assembly factor with WDR repeat domains 1	daw1	Chanos chanos (Milkfish) (Mugil chanos)	415		
XP_031568365.1	A0A6P8IPJ0	A0A6P8IPJ0_ACTTE	unreviewed	uncharacterized protein LOC116303060	LOC116303060	Actinia tenebrosa (Australian red waratah sea anemone)	293		
XP_013981420.1	A0A1S3KS49	A0A1S3KS49_SALSA	unreviewed	uncharacterized protein LOC106561727	LOC106561727	Salmo salar (Atlantic salmon)	316	integral component of membrane [GO:0016021]	GO:0016021
XP_023388426.1	A0A6P6CLR4	A0A6P6CLR4_PTEVA	unreviewed	Serine/threonine-protein kinase mTOR (EC 2.7.11.1)	MTOR	Pteropus vampyrus (Large flying fox)	2532	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; protein-containing complex binding [GO:0044877]	GO:0005524; GO:0044877; GO:0106310; GO:0106311
XP_031561055.1	A0A6P8I8S3	A0A6P8I8S3_ACTTE	unreviewed	uncharacterized protein LOC116297053	LOC116297053	Actinia tenebrosa (Australian red waratah sea anemone)	939		
XP_031563273.1	A0A6P8I3Y1	A0A6P8I3Y1_ACTTE	unreviewed	uncharacterized protein LOC116298843	LOC116298843	Actinia tenebrosa (Australian red waratah sea anemone)	564		
XP_031549912.1	A0A6P8HB65	A0A6P8HB65_ACTTE	unreviewed	uncharacterized protein LOC116287378	LOC116287378	Actinia tenebrosa (Australian red waratah sea anemone)	1062		
XP_001641734.1	A7RFV9	A7RFV9_NEMVE	unreviewed	Predicted protein	v1g158054	Nematostella vectensis (Starlet sea anemone)	948	cytoskeleton [GO:0005856]	GO:0005856
YP_004581309.1	F8UM39	F8UM39_9CNID	unreviewed	ATP synthase subunit a	ATP6	Porites okinawensis (hump coral)	232	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]	GO:0005743; GO:0015078; GO:0015986; GO:0016021; GO:0045263
XP_036362482.1	A0A7E6F6A5	A0A7E6F6A5_OCTVU	unreviewed	deleted in malignant brain tumors 1 protein-like	LOC115216187	Octopus vulgaris (Common octopus)	1864	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020
XP_007815643.1	E9EHF5	E9EHF5_METAQ	unreviewed	K+-dependent Na+/Ca+ exchanger	MAC_09303	Metarhizium acridum (strain CQMa 102)	511		
XP_031554525.1	A0A6P8HPE1	A0A6P8HPE1_ACTTE	unreviewed	uncharacterized protein LOC116291494	LOC116291494	Actinia tenebrosa (Australian red waratah sea anemone)	721		
XP_031554794.1	A0A6P8HEE0	A0A6P8HEE0_ACTTE	unreviewed	uncharacterized protein LOC116291725	LOC116291725	Actinia tenebrosa (Australian red waratah sea anemone)	361	metal ion binding [GO:0046872]	GO:0046872
XP_032060979.1	A0A6J3ECN2	A0A6J3ECN2_AYTFU	unreviewed	LOW QUALITY PROTEIN: deleted in malignant brain tumors 1 protein-like	LOC116500171	Aythya fuligula (Tufted duck) (Anas fuligula)	3223	integral component of membrane [GO:0016021]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016021
XP_031557173.1	A0A6P8HQ07	A0A6P8HQ07_ACTTE	unreviewed	uncharacterized protein LOC116293833	LOC116293833	Actinia tenebrosa (Australian red waratah sea anemone)	422	zinc ion binding [GO:0008270]	GO:0008270
