yourlistU	UPA	Organisms	UniProtKB	First seen	Last seen	Length
XP_029191248.1	UPI0010FCAB55	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	499
XP_020623805.1	UPI0009E2E6DE	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	524
XP_020629900.1	UPI0009E4594F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	452
XP_020616969.1	UPI0009E61CC0	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	698
XP_020615560.1	UPI0009E2C7AB	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1598
XP_029212106.1	UPI0010FCA045	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	250
XP_020607615.1	UPI0009E49338	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	373
XP_020611346.1	UPI0009E28493	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	517
XP_020622858.1	UPI0009E31DBC	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	234
XP_027048431.1	UPI000F554987	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	623
XP_015763683.1	UPI00077ADC2F	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	370
XP_022806081.1	UPI000C040E18	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	292
XP_022802223.1	UPI000C04FD32	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	625
XP_020617107.1	UPI0009E36182	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	359
XP_020624113.1	UPI0009E5F202	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	425
XP_029346438.1	UPI0011142F98	Acyrthosiphon pisum (Pea aphid)		2019-06-17	2021-07-12	499
XP_020607174.1	UPI0009E3C5D0	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	4658
XP_015767377.1	UPI000779F7DC	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	369
XP_020629117.1	UPI0009E21D47	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	307
XP_015753746.1	UPI00077A8B99	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	2721
XP_015759655.1	UPI00077AAE36	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	1203
XP_027044966.1	UPI000F5550BD	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	447
XP_022805085.1	UPI000C039151	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	202
XP_027041316.1	UPI000F55956E	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	504
XP_020625927.1	UPI0009E260A6	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	578
XP_020605804.1	UPI0009E28C96	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	473
XP_020603693.1	UPI0009E25070	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	800
XP_020602082.1	UPI0009E501A3	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	236
XP_027059510.1	UPI000F553E9F	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	330
XP_020606505.1	UPI0009E5090A	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	343
XP_020617528.1	UPI0009E348C6	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	467
XP_022800286.1	UPI000C013ACE	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RRT6; 	2017-10-24	2021-09-29	859
XP_020609357.1	UPI0009E31ED6	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	508
XP_020618039.1	UPI0009E1D8BA	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	514
XP_022804827.1	UPI000C00BE64	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RIB1; 	2017-10-24	2021-09-29	356
XP_020614166.1	UPI0009E40C71	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	339
XP_015759101.1	UPI00077A8910	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	867
XP_015764534.1	UPI00077AF357	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	330
XP_015776113.1	UPI00077A93CB	Acropora digitifera (Staghorn coral); Acropora millepora (Staghorn coral) (Heteropora millepora)		2016-03-15	2021-07-12	210
XP_027049832.1	UPI000F55677D	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1567
XP_020601785.1	UPI0009E634FC	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	702
XP_022795759.1	UPI000C045D44	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	1130
XP_015774686.1	UPI00077A0C51	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	229
XP_015758886.1	UPI00077A4B1B	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	323
XP_015776860.1	UPI00077A0FA2	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	1531
XP_027038274.1	UPI000F554DBD	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	683
XP_020630091.1	UPI0009E1F991	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	970
XP_020624394.1	UPI0009E3F91C	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	722
XP_020615448.1	UPI0009E3093A	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1827
XP_015762619.1	UPI00077A36A8	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	309
XP_020621834.1	UPI0009E1E91F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	377
XP_015760011.1	UPI00077ADCB4	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	448
XP_020622600.1	UPI0009E3F203	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	930
XP_020611609.1	UPI0009E5660F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	431
XP_020626400.1	UPI0009E1F6C8	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	364
XP_020606902.1	UPI0009E27C8F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	297
XP_020603705.1	UPI0009E4F107	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	542
XP_020621205.1	UPI0009E2865D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	768
XP_015764381.1	UPI00077A2778	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	530
XP_015754608.1	UPI00077A95C3	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	452
XP_020605004.1	UPI0009E2B4BE	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	333
XP_020609279.1	UPI0009E3A343	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	861
XP_020603004.1	UPI0009E3EC45	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	492
XP_027045233.1	UPI000F54D319	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	667
XP_027049247.1	UPI000F3F452A	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TJI3; 	2018-11-13	2021-09-29	557
XP_020617469.1	UPI0009E48945	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	312
XP_020628763.1	UPI0009E3C2C6	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	280
XP_020604448.1	UPI0009E29436	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	396
XP_022797570.1	UPI000C017015	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4SWY9; 	2017-10-24	2021-09-29	196
XP_020621782.1	UPI0009E3E5F5	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	315
XP_027053274.1	UPI000F54D109	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1690
XP_020608218.1	UPI0009E65DE0	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	357
XP_027037506.1	UPI000F552B86	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	335
XP_020620745.1	UPI0009E4D92D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1525
XP_020605669.1	UPI0009E455D5	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	385
XP_015754261.1	UPI00077AC70D	Acropora digitifera (Staghorn coral); Acropora millepora (Staghorn coral) (Heteropora millepora)		2016-03-15	2021-07-12	128
XP_020609815.1	UPI0009E615A3	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	430
XP_020630980.1	UPI0009E31422	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	612
XP_020602167.1	UPI0009E49B54	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	184
XP_020605166.1	UPI0009E1C953	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	348
XP_015780389.1	UPI00077A8E96	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	660
XP_020614615.1	UPI0009E4B63F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	445
XP_020603839.1	UPI0009E2E122	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	380
XP_027046411.1	UPI000F3F5E0F	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6V5A0; 	2018-11-13	2021-09-29	393
XP_015756063.1	UPI00077A4004	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	237
XP_022801783.1	UPI000C00F89B	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RJH1; 	2017-10-24	2021-09-29	444
XP_027056494.1	UPI000F5571C0	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1187
XP_029202417.1	UPI0010FCC7C5	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	110
XP_020609272.1	UPI0009E5FF6F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	501
XP_020621849.1	UPI0009E40EFB	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	164
XP_020629225.1	UPI0009E509CA	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	428
XP_020622072.1	UPI0009E36A0B	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	238
XP_020602940.1	UPI0009E5EAE5	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	547
XP_022779911.1	UPI000C0170AB	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4SUK7; 	2017-10-24	2021-09-29	1002
XP_020602861.1	UPI0009E43164	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	437
XP_029212073.1	UPI0010FC7B5D	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	229
XP_027053324.1	UPI000F3AFAC4	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TA24; 	2018-11-13	2021-09-29	1241
XP_020608689.1	UPI0009E220F5	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	594
XP_020621412.1	UPI0009E57163	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	432
XP_020621153.1	UPI0009E486CF	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	164
XP_032222564.1	UPI00015B380F	Nematostella vectensis (Starlet sea anemone)	A7RH30; 	2007-08-25	2021-09-29	131
XP_020631322.1	UPI0009E4B160	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	568
XP_020630521.1	UPI0009E552A7	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1069
XP_020610776.1	UPI0009E231F4	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	327
XP_020625327.1	UPI0009E421FF	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	469
XP_022779446.1	UPI000C01958D	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4SR73; 	2017-10-24	2021-09-29	371
XP_027054903.1	UPI000F4154F7	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6T665; 	2018-11-13	2021-09-29	835
XP_027045405.1	UPI000F3F4D11	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TU19; 	2018-11-13	2021-09-29	421
XP_022802561.1	UPI000C0112C8	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RI48; 	2017-10-24	2021-09-29	248
XP_020612715.1	UPI0009E34267	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	329
XP_030851673.1	UPI0012396871	Strongylocentrotus purpuratus (Purple sea urchin)	A0A7M7T3R8; 	2019-09-28	2021-09-29	981
XP_027060518.1	UPI000F3BBC31	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6UIC1; 	2018-11-13	2021-09-29	478
XP_020611540.1	UPI0009E2E7B1	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	592
XP_020628719.1	UPI0009E2602D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	346
XP_020624046.1	UPI0009E564C7	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	524
XP_020611755.1	UPI0009E203EF	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	335
XP_027046346.1	UPI000F54ECCC	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	195
XP_028933362.1	UPI0010A85F3D	Ornithorhynchus anatinus (Duckbill platypus)		2019-04-30	2021-07-12	268
XP_015749320.1	UPI00077B1893	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	158
XP_022782079.1	UPI000C03DBA7	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	421
XP_027052949.1	UPI000F3CE9E1	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TB01; 	2018-11-13	2021-09-29	230
XP_020611864.1	UPI0009E5AD0A	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	269
XP_022808772.1	UPI000C004ACB	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RA31; 	2017-10-24	2021-09-29	322
XP_020604400.1	UPI0009E24D2F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1157
XP_027038600.1	UPI000F555A2A	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1437
XP_015762110.1	UPI00077AD36F	Acropora digitifera (Staghorn coral); Acropora millepora (Staghorn coral) (Heteropora millepora)		2016-03-15	2021-07-12	151
XP_027036960.1	UPI000F3FD73F	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6UDU9; 	2018-11-13	2021-09-29	388
XP_015771065.1	UPI000779F636	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	745
XP_027057117.1	UPI000F3DCD37	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6UVN3; 	2018-11-13	2021-09-29	236
XP_020615682.1	UPI0009E59DC6	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	404
XP_020629870.1	UPI0009E28B84	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	448
XP_029202923.1	UPI0010FCCCC5	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	168
XP_020608660.1	UPI0009E4C7A5	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	339
XP_027060078.1	UPI000F557856	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	413
XP_029205716.1	UPI0010FC7A03	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	111
XP_015747295.1	UPI00077A7609	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	362
XP_020632503.1	UPI0009E4BE97	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	510
XP_020613967.1	UPI0009E19F40	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	437
XP_020606791.1	UPI0009E35E1C	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	459
XP_020625645.1	UPI0009E1FE4A	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	313
XP_020612813.1	UPI0009E31437	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	2222
XP_020625189.1	UPI0009E2C824	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	365
XP_022798424.1	UPI000C01CEFC	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RWE6; 	2017-10-24	2021-09-29	800
XP_020610952.1	UPI0009E64887	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	470
XP_027056113.1	UPI000F414B27	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6UY21; 	2018-11-13	2021-09-29	501
XP_022806536.1	UPI000C005B15	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RFZ0; 	2017-10-24	2021-09-29	239
XP_020608394.1	UPI0009E49735	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	423
XP_020622259.1	UPI0009E3D713	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	569
XP_020610312.1	UPI0009E47A3D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	844
XP_022808323.1	UPI000C0107C4	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RCA4; 	2017-10-24	2021-09-29	679
XP_020916334.1	UPI000A2A44FA	Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)		2017-05-13	2021-07-12	403
XP_020612983.1	UPI0009E1A582	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	621
XP_020621288.1	UPI0009E64888	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	586
XP_020608893.1	UPI0009E4F61B	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	165
XP_020601526.1	UPI0009E631D8	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	383
XP_022780998.1	UPI000C043E29	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	536
XP_020631452.1	UPI0009E3771F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	401
XP_021373041.1	UPI000B45AC23	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)		2017-06-18	2021-07-12	637
XP_027050742.1	UPI000F3ADC7E	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TG20; 	2018-11-13	2021-09-29	589
XP_020606125.1	UPI0009E3F46C	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	312
XP_020602827.1	UPI0009E55749	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	601
XP_032806062.1	UPI00140396A2	Petromyzon marinus (Sea lamprey)		2020-03-21	2021-07-12	1628
XP_015762155.1	UPI00077AE762	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	286
XP_020605360.1	UPI0009E2FA04	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	422
XP_027056819.1	UPI000F558E10	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	896
XP_020632303.1	UPI0009E2A866	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	611
XP_029357520.1	UPI001113D9C2	Echeneis naucrates (Live sharksucker)		2019-06-17	2021-07-12	4645
XP_020604045.1	UPI0009E36753	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	313
XP_015755247.1	UPI00077AE222	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	569
XP_027043553.1	UPI000F3B9353	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TYE8; 	2018-11-13	2021-09-29	448
XP_022802092.1	UPI000C045C95	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	150
XP_020606093.1	UPI0009E41508	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1313
XP_020605580.1	UPI0009E31598	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	363
XP_020611647.1	UPI0009E2E5E7	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1436
XP_015757392.1	UPI00077A38FC	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	353
XP_022784634.1	UPI000C01607F	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4SK11; 	2017-10-24	2021-09-29	411
XP_015761364.1	UPI00077AB488	Acropora digitifera (Staghorn coral); Acropora millepora (Staghorn coral) (Heteropora millepora)		2016-03-15	2021-07-12	256
XP_020606119.1	UPI0009E34CCB	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	327
XP_020607058.1	UPI0009E4F493	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1012
XP_020614337.1	UPI0009E4420B	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	166
XP_020604955.1	UPI0009E5943D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	245
XP_020614339.1	UPI0009E358C6	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	276
XP_020623218.1	UPI0009E42E53	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1128
XP_027048576.1	UPI000F3FA696	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TLC6; 	2018-11-13	2021-09-29	265
XP_015771153.1	UPI00077B0E2B	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	282
XP_020619782.1	UPI0009E55412	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	409
XP_027048503.1	UPI000F5563F1	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1816
XP_020605718.1	UPI0009E266FB	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	334
XP_022796005.1	UPI000C03DD4B	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	579
XP_020622912.1	UPI0009E31F37	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	489
XP_020609241.1	UPI0009E53C42	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	278
XP_020624380.1	UPI0009E36157	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1011
XP_022797168.1	UPI000C0013F5	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RSV5; 	2017-10-24	2021-09-29	214
XP_027044242.1	UPI000F54DDF5	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	480
XP_020610899.1	UPI0009E500AD	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	715
XP_020617501.1	UPI0009E3473A	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	387
XP_022788315.1	UPI000C04BF34	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	867
XP_020629932.1	UPI0009E40067	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	420
XP_020632385.1	UPI0009E23B35	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	328
XP_020626423.1	UPI0009E36B12	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	369
XP_015755705.1	UPI00077A5343	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	168
XP_027060085.1	UPI000F54E670	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	438
XP_015763380.1	UPI000779FBC9	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	264
XP_020613982.1	UPI0009E61A74	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	726
XP_027053383.1	UPI000F3FC495	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TA66; 	2018-11-13	2021-09-29	543
XP_020619676.1	UPI0009E5326B	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	928
XP_022803539.1	UPI000C04B0D3	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	773
XP_022788137.1	UPI000C03BD87	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	223
XP_015776044.1	UPI00077B2271	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	171
XP_015777612.1	UPI00077B2436	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	1784
XP_038053618.1	UPI0018D82B4A	Patiria miniata (Bat star) (Asterina miniata)		2020-12-16	2021-07-12	466
XP_015772840.1	UPI00077A2A56	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	245
XP_020629980.1	UPI0009E411C6	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1591
XP_028516281.1	UPI00109B7971	Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)		2019-04-18	2021-07-12	416
